Iteration 1;;;
Pedro;500;0.28;0.6
Leonor;500;0.45;1
Duarte;500;0.67;0.65
Ana;500;0.1;0.6
Emanuel;500;0.99;0.65
Maria;500;0.3;0.57
﻿Mafalda;500;1;1
João;500;0.25;1
Sara;500;0.78;0.65
Ricardo;500;0.5;1
Chico;500;0.2;0.65
Carolina;500;0.89;1
GamingReplay;4;4;
Gustavo;500;0.8;0.65
Henrique;500;0.6;0.65
Afonso;500;0.36;0.6
IKEA;4;1;
Bertrand;4;3;
McDonalds;4;0;
Manel;500;0.8;0.65
Sónia;500;0.91;0.57
﻿Fnac;4;4;
Zara;4;3;
Diogo;500;0.81;0.65
Mariana;500;0.1;0.65
Marisa;500;0.4;0.6
Iteration 2;;;
GamingReplay;4;2;
Bertrand;4;2;
IKEA;4;1;
Gustavo;500;0.8;0.48
Leonor;500;0.45;1
McDonalds;4;0;
﻿Fnac;4;2;
Zara;4;2;
Henrique;500;0.6;0.65
Afonso;500;0.36;0.4
Manel;500;0.8;0.48
Sónia;500;0.91;0.57
Diogo;500;0.81;0.65
Mariana;500;0.1;0.48
Pedro;500;0.28;0.4
Marisa;500;0.4;0.4
Chico;500;0.2;0.48
Ricardo;500;0.5;1
Carolina;500;0.89;1
João;500;0.25;1
Sara;500;0.78;0.48
﻿Mafalda;500;1;1
Maria;500;0.3;0.57
Emanuel;500;0.99;0.65
Ana;500;0.1;0.4
Duarte;500;0.67;0.65
Iteration 3;;;
GamingReplay;4;2;
IKEA;4;1;
Bertrand;4;2;
McDonalds;4;0;
﻿Fnac;4;2;
Leonor;500;0.45;0.65
Gustavo;500;0.8;0.48
Zara;4;2;
Henrique;500;0.6;0.65
Afonso;500;0.36;0.4
Sónia;500;0.91;0.57
Manel;500;0.8;0.39
Mariana;500;0.1;0.39
Diogo;500;0.81;0.65
Marisa;500;0.4;0.3
Pedro;500;0.28;0.3
Chico;500;0.2;0.39
Ricardo;500;0.5;1
Carolina;500;0.89;1
Sara;500;0.78;0.39
João;500;0.25;1
Maria;500;0.3;0.57
Ana;500;0.1;0.3
﻿Mafalda;500;1;1
Emanuel;500;0.99;0.65
Duarte;500;0.67;0.48
